Frame Number;POSIX Timestamp;Detected Objects;Latitude;Longitude
5551;1.738.595.766.288.430;"[-3.3434433937072754, 24.752037048339844, -9.570232391357422, -0.5997640490531921, 15.3]";36620937;27846258
5552;1.738.595.766.338.430;"[-2.5190327167510986, 24.881010055541992, -9.826981544494629, -0.4998033940792084, 12.700000000000001]";36620937;27846258
5553;1.738.595.766.388.430;[];36620937;27846258
5546;1.738.595.766.038.430;[];36620937;27846258
5547;1.738.595.766.088.430;[];36620937;27846258
5548;1.738.595.766.138.430;"[-3.358710289001465, 25.297136306762695, -8.411521911621094, -0.5997640490531921, 14.9]";36620937;27846258
5549;1.738.595.766.188.430;[];36620937;27846258
5574;1.738.595.767.438.430;"[-3.9312174320220947, 23.672910690307617, -7.5600199699401855, -0.5997640490531921, 13.5]";36620937;27846258
5575;1.738.595.767.488.430;"[-3.9121341705322266, 23.052719116210938, -8.952747344970703, -0.5997640490531921, 15.8], [-4.08388614654541, 23.881168365478516, -9.805495262145996, -0.4998033940792084, 13.8]";36620937;27846258
5576;1.738.595.767.538.430;[];36620937;27846258
5577;1.738.595.767.588.430;[];36620937;27846258
5581;1.738.595.767.788.430;"[-3.2518422603607178, 24.608264923095703, -7.7862324714660645, -0.4998033940792084, 15.100000000000001]";36620937;27846258
5580;1.738.595.767.738.430;"[-3.114440441131592, 23.095998764038086, -8.812398910522461, -0.6997247338294983, 15.600000000000001]";36620937;27846258
5579;1.738.595.767.688.430;"[-3.2518422603607178, 24.209749221801758, -8.948750495910645, -0.5997640490531921, 15.8], [-3.9121341705322266, 22.96385383605957, -9.178284645080566, -0.4998033940792084, 12.4]";36620937;27846258
5578;1.738.595.767.638.430;[];36620937;27846258
5570;1.738.595.767.238.430;[];36620937;27846258
5571;1.738.595.767.288.430;[];36620937;27846258
5572;1.738.595.767.338.430;[];36620937;27846258
5573;1.738.595.767.388.430;"[-3.9312174320220947, 23.432979583740234, -8.273826599121094, -0.5997640490531921, 13.0]";36620937;27846258
5569;1.738.595.767.188.430;[];36620937;27846258
5568;1.738.595.767.138.430;"[-3.2823758125305176, 24.22337532043457, -9.591115951538086, -0.5997640490531921, 12.5]";36620937;27846258
5567;1.738.595.767.088.430;"[-3.950301170349121, 23.157880783081055, -9.342565536499023, -0.4998033940792084, 17.8], [-3.267108917236328, 24.645479202270508, -8.066123962402344, -0.4998033940792084, 14.0]";36620937;27846258
5566;1.738.595.767.038.430;[];36620937;27846258
5585;1.738.595.767.988.430;[];36620937;27846258
5584;1.738.595.767.938.430;[];36620937;27846258
5583;1.738.595.767.888.430;[];36620937;27846258
5582;1.738.595.767.838.430;[];36620937;27846258
5593;1.738.595.768.388.430;"[-3.19077467918396, 23.34328269958496, -9.823284149169922, -0.4998033940792084, 13.200000000000001]";36620934;27846287
5592;1.738.595.768.338.430;"[-4.007552146911621, 23.66004753112793, -9.054204940795898, -0.5997640490531921, 17.3]";36620934;27846287
5591;1.738.595.768.288.430;"[-3.19077467918396, 24.15505027770996, -7.61177921295166, -0.4998033940792084, 14.100000000000001]";36620934;27846287
5590;1.738.595.768.238.430;"[-3.2060415744781494, 23.551883697509766, -9.636754989624023, -0.5997640490531921, 16.0]";36620934;27846287
5597;1.738.595.768.588.430;[];36620934;27846287
5596;1.738.595.768.538.430;[];36620934;27846287
5595;1.738.595.768.488.430;"[-3.19077467918396, 23.425148010253906, -9.626429557800293, -0.6997247338294983, 15.700000000000001], [3.083906650543213, 23.98651123046875, 4.87929105758667, -0.3998427093029022, 13.4]";36620934;27846287
5594;1.738.595.768.438.430;[];36620934;27846287
5598;1.738.595.768.638.430;[];36620934;27846287
5599;1.738.595.768.688.430;"[-3.1755077838897705, 23.28516387939453, -9.647987365722656, -0.4998033940792084, 14.5]";36620934;27846287
5600;1.738.595.768.738.430;"[-3.9693846702575684, 23.106143951416016, -9.783479690551758, -0.3998427093029022, 14.5]";36620934;27846287
5601;1.738.595.768.788.430;"[-4.580059051513672, 22.042377471923828, -9.478089332580566, -0.5997640490531921, 16.900000000000002]";36620934;27846287
5589;1.738.595.768.188.430;[];36620934;27846287
5588;1.738.595.768.138.430;"[-3.221308469772339, 23.676950454711914, -9.651020050048828, -0.4998033940792084, 16.0]";36620934;27846287
5587;1.738.595.768.088.430;"[-3.2060415744781494, 24.440908432006836, -7.085215091705322, -0.5997640490531921, 12.5]";36620934;27846287
5586;1.738.595.768.038.430;"[-3.873966932296753, 22.36322784423828, -9.97950553894043, -0.5997640490531921, 19.1], [-4.026635646820068, 23.96231460571289, -8.585488319396973, -0.4998033940792084, 16.2]";36620934;27846287
5605;1.738.595.768.988.430;[];36620934;27846287
5604;1.738.595.768.938.430;"[-3.950301170349121, 23.2998046875, -8.98276424407959, -0.4998033940792084, 12.8]";36620934;27846287
5603;1.738.595.768.888.430;[];36620934;27846287
5602;1.738.595.768.838.430;[];36620934;27846287
5621;1.738.595.769.788.430;[];36620934;27846302
5620;1.738.595.769.738.430;"[-4.465558052062988, 21.19416618347168, -9.903669357299805, -0.5997640490531921, 12.4]";36620934;27846302
5619;1.738.595.769.688.430;"[-3.873966932296753, 22.91122817993164, -8.64754867553711, -0.4998033940792084, 18.8]";36620934;27846302
5618;1.738.595.769.638.430;[];36620934;27846302
5622;1.738.595.769.838.430;"[-3.083906650543213, 23.328338623046875, -7.412748336791992, -0.5997640490531921, 14.4]";36620934;27846302
5623;1.738.595.769.888.430;[];36620934;27846302
5624;1.738.595.769.938.430;"[-3.8548831939697266, 22.451547622680664, -9.47304630279541, -0.5997640490531921, 15.100000000000001], [-3.7022147178649902, 21.555728912353516, -9.113618850708008, -0.3998427093029022, 14.4]";36620934;27846302
5625;1.738.595.769.988.430;[];36620934;27846302
5617;1.738.595.769.588.430;"[-3.8930506706237793, 22.996004104614258, -8.764205932617188, -0.3998427093029022, 15.600000000000001]";36620934;27846302
5616;1.738.595.769.538.430;"[-3.8930506706237793, 22.85010528564453, -9.137842178344727, -0.5997640490531921, 15.100000000000001]";36620934;27846302
5615;1.738.595.769.488.430;[];36620934;27846302
5614;1.738.595.769.438.430;[];36620934;27846302
5606;1.738.595.769.038.430;"[-4.557158946990967, 21.70237159729004, -9.948115348815918, -0.5997640490531921, 14.600000000000001]";36620934;27846302
5607;1.738.595.769.088.430;[];36620934;27846302
5608;1.738.595.769.138.430;"[-4.717461109161377, 24.165449142456055, -5.176074504852295, -0.4998033940792084, 14.200000000000001]";36620934;27846302
5609;1.738.595.769.188.430;[];36620934;27846302
5613;1.738.595.769.388.430;"[-3.9121341705322266, 22.626811981201172, -9.980325698852539, -0.6997247338294983, 14.100000000000001]";36620934;27846302
5612;1.738.595.769.338.430;"[-3.1449739933013916, 23.85905647277832, -7.339595794677734, -0.5997640490531921, 13.600000000000001]";36620934;27846302
5611;1.738.595.769.288.430;[];36620934;27846302
5610;1.738.595.769.238.430;"[-2.3587305545806885, 23.353952407836914, -9.05783748626709, -0.5997640490531921, 14.0]";36620934;27846302
5626;1.738.595.770.038.430;"[-3.8548831939697266, 22.61444091796875, -9.077314376831055, -0.5997640490531921, 16.2]";36620930;27846319
5627;1.738.595.770.088.430;"[-3.7022147178649902, 21.246440887451172, -9.81306266784668, -0.4998033940792084, 14.3]";36620930;27846319
5628;1.738.595.770.138.430;"[-3.7022147178649902, 22.307985305786133, -7.075395584106445, -0.4998033940792084, 13.700000000000001]";36620930;27846319
5629;1.738.595.770.188.430;"[-4.41975736618042, 21.145071029663086, -9.433594703674316, -0.4998033940792084, 16.6]";36620930;27846319
5638;1.738.595.770.638.430;[];36620930;27846319
5639;1.738.595.770.688.430;"[-3.7976324558258057, 22.303733825683594, -8.879590034484863, -0.4998033940792084, 15.200000000000001]";36620930;27846319
5640;1.738.595.770.738.430;[];36620930;27846319
5641;1.738.595.770.788.430;"[-3.7785487174987793, 22.627180099487305, -7.65093994140625, -0.4998033940792084, 15.4]";36620930;27846319
5645;1.738.595.770.988.430;"[-3.7785487174987793, 22.360231399536133, -8.399179458618164, -0.3998427093029022, 14.200000000000001]";36620930;27846319
5644;1.738.595.770.938.430;[];36620930;27846319
5643;1.738.595.770.888.430;[];36620930;27846319
5642;1.738.595.770.838.430;[];36620930;27846319
5634;1.738.595.770.438.430;"[-3.022839069366455, 23.02758026123047, -6.737696647644043, -0.4998033940792084, 12.4]";36620930;27846319
5635;1.738.595.770.488.430;[];36620930;27846319
5636;1.738.595.770.538.430;"[-3.053372859954834, 23.139318466186523, -7.205993175506592, -0.5997640490531921, 15.9]";36620930;27846319
